Age,Work Class,Education,Marital Status,Height (cm),Number of Siblings,Occupation,Relatioship,Race,Gender,Hours Per Week,Country,Income Per Annum
33, Self-emp-inc, Masters, Married-civ-spouse,161,6, Craft-repair, Husband, White, Male,40, United-States,33145
57, Private, HS-grad, Divorced,170,4, Machine-op-inspct, Not-in-family, White, Female,40, United-States,75713
22, Private, 10th, Separated,179,3, Other-service, Unmarried, White, Female,40, United-States,24136
33, ?, HS-grad, Separated,148,1, ?, Unmarried, White, Female,20, United-States,29785
33, Private, HS-grad, Married-civ-spouse,175,1, Transport-moving, Husband, White, Male,60, United-States,32348
42, Private, HS-grad, Married-civ-spouse,183,0, Craft-repair, Husband, White, Male,40, United-States,21975
43, Private, Bachelors, Separated,158,1, Prof-specialty, Unmarried, White, Male,45, United-States,31412
57, Self-emp-not-inc, Some-college, Married-civ-spouse,172,2, Tech-support, Husband, White, Male,38, United-States,53096
42, Private, Masters, Divorced,191,3, Prof-specialty, Not-in-family, White, Male,40, United-States,20769
22, Private, Some-college, Never-married,180,2, Transport-moving, Own-child, White, Male,30, United-States,49174
21, ?, Some-college, Never-married,181,1, ?, Own-child, White, Female,35, United-States,45034
42, Self-emp-not-inc, Bachelors, Married-civ-spouse,187,5, Sales, Husband, White, Male,50, United-States,169536
39, Private, Some-college, Married-civ-spouse,158,6, Sales, Husband, White, Male,55, United-States,23668
41, Private, Some-college, Married-civ-spouse,163,4, Prof-specialty, Wife, White, Female,32, United-States,131561
20, Local-gov, HS-grad, Never-married,194,4, Handlers-cleaners, Own-child, Black, Male,40, United-States,40262
47, Private, Some-college, Married-civ-spouse,171,3, Craft-repair, Husband, White, Male,40, United-States,22181
44, Private, Some-college, Divorced,191,1, Adm-clerical, Unmarried, White, Female,40, United-States,25170
29, Private, Bachelors, Never-married,163,2, Adm-clerical, Not-in-family, Black, Female,40, United-States,42392
52, Private, Some-college, Married-spouse-absent,151,3, Adm-clerical, Not-in-family, White, Female,16, United-States,133804
71, Private, Some-college, Widowed,175,2, Sales, Not-in-family, White, Male,35, United-States,95021
52, Private, HS-grad, Never-married,191,5, Craft-repair, Own-child, White, Male,55, United-States,41735
36, Private, HS-grad, Married-civ-spouse,165,5, Sales, Husband, White, Male,40, United-States,26387
53, Private, Some-college, Divorced,161,2, Craft-repair, Not-in-family, White, Male,48, United-States,149872
37, Private, HS-grad, Married-civ-spouse,158,6, Other-service, Wife, White, Female,30, United-States,86458
26, Private, 10th, Never-married,198,2, Handlers-cleaners, Not-in-family, White, Male,40, United-States,21996
34, Private, Bachelors, Married-civ-spouse,167,2, Prof-specialty, Husband, White, Male,55, United-States,57219
35, Private, Bachelors, Never-married,162,0, Prof-specialty, Not-in-family, White, Male,50, United-States,188901
20, Private, 9th, Never-married,155,6, Sales, Own-child, White, Female,40, United-States,46267
34, Local-gov, Some-college, Married-civ-spouse,177,3, Craft-repair, Husband, White, Male,40, United-States,34612
56, Self-emp-not-inc, Bachelors, Married-civ-spouse,169,4, Exec-managerial, Husband, White, Male,60, United-States,49043
39, Private, Bachelors, Married-civ-spouse,160,0, Prof-specialty, Wife, White, Female,36, United-States,97437
24, Private, Some-college, Never-married,177,4, Tech-support, Own-child, White, Female,20, United-States,49774
24, Private, 11th, Divorced,182,2, Sales, Unmarried, White, Female,35, United-States,24467
23, Private, Bachelors, Never-married,186,0, Prof-specialty, Not-in-family, White, Male,50, United-States,35464
27, Private, Bachelors, Never-married,178,4, Prof-specialty, Not-in-family, White, Male,45, United-States,30601
25, Private, HS-grad, Never-married,149,5, Adm-clerical, Unmarried, White, Female,40, United-States,38071
29, Private, Some-college, Never-married,160,1, Adm-clerical, Not-in-family, White, Female,40, United-States,29283
42, Private, Some-college, Married-civ-spouse,192,6, Machine-op-inspct, Wife, White, Female,37, United-States,106210
51, Private, HS-grad, Married-civ-spouse,158,5, Craft-repair, Husband, White, Male,40, United-States,30945
31, Private, Assoc-voc, Married-civ-spouse,160,4, Craft-repair, Husband, White, Male,40, United-States,23894
59, Private, 1st-4th, Married-civ-spouse,171,2, Machine-op-inspct, Husband, White, Male,40, Mexico,25827
29, Private, HS-grad, Married-civ-spouse,195,4, Other-service, Wife, White, Female,40, United-States,29792
18, Private, HS-grad, Never-married,192,5, Adm-clerical, Own-child, White, Female,20, United-States,46824
24, Private, HS-grad, Married-civ-spouse,200,3, Craft-repair, Wife, White, Female,36, United-States,41916
38, State-gov, Some-college, Separated,197,5, Exec-managerial, Own-child, White, Male,40, United-States,42869
36, Private, HS-grad, Never-married,180,0, Priv-house-serv, Unmarried, Black, Female,28, ?,34214
34, Self-emp-not-inc, HS-grad, Separated,171,1, Exec-managerial, Not-in-family, White, Male,50, United-States,31981
42, Self-emp-not-inc, Bachelors, Married-civ-spouse,162,1, Exec-managerial, Husband, White, Male,70, United-States,119932
45, Self-emp-not-inc, 12th, Divorced,181,3, Craft-repair, Other-relative, Black, Male,35, United-States,37005
21, Private, Assoc-voc, Never-married,165,6, Transport-moving, Own-child, White, Male,40, United-States,23005
64, Self-emp-inc, Doctorate, Married-civ-spouse,165,3, Prof-specialty, Husband, White, Male,60, Canada,96710
32, Private, HS-grad, Never-married,172,1, Machine-op-inspct, Other-relative, Black, Male,40, United-States,24586
45, Private, Bachelors, Never-married,185,4, Prof-specialty, Not-in-family, White, Male,40, United-States,182714
53, Private, 5th-6th, Married-civ-spouse,187,4, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,40, Laos,36628
42, Private, HS-grad, Married-civ-spouse,165,1, Craft-repair, Husband, White, Male,16, United-States,28680
32, Private, HS-grad, Divorced,148,0, Other-service, Not-in-family, White, Female,40, United-States,34161
49, Private, HS-grad, Married-civ-spouse,199,1, Machine-op-inspct, Husband, White, Male,40, United-States,27434
62, Private, 5th-6th, Married-civ-spouse,156,3, Farming-fishing, Husband, White, Male,24, Mexico,30858
28, Private, Bachelors, Married-civ-spouse,192,1, Exec-managerial, Husband, White, Male,45, United-States,43316
29, ?, Doctorate, Married-civ-spouse,162,0, ?, Husband, White, Male,50, United-States,95284
32, Private, HS-grad, Never-married,190,3, Farming-fishing, Not-in-family, White, Male,35, United-States,47083
37, Self-emp-inc, 10th, Never-married,171,0, Transport-moving, Not-in-family, White, Male,50, United-States,63370
38, Private, Bachelors, Married-civ-spouse,189,2, Exec-managerial, Husband, Asian-Pac-Islander, Male,50, Japan,128054
44, Local-gov, HS-grad, Divorced,180,2, Transport-moving, Own-child, White, Male,25, United-States,40342
19, Private, HS-grad, Never-married,183,0, Transport-moving, Own-child, White, Male,40, United-States,39864
22, ?, Some-college, Never-married,159,4, ?, Own-child, White, Male,40, United-States,23962
24, Private, Bachelors, Never-married,188,6, Prof-specialty, Not-in-family, White, Female,40, United-States,30747
58, Private, HS-grad, Married-civ-spouse,196,2, Exec-managerial, Husband, White, Male,50, United-States,123651
56, Private, Bachelors, Widowed,178,6, Other-service, Not-in-family, White, Female,40, United-States,29211
37, Private, 10th, Divorced,193,0, Craft-repair, Unmarried, White, Female,40, United-States,39053
43, Private, Some-college, Divorced,184,3, Machine-op-inspct, Not-in-family, White, Male,40, United-States,33539
32, Private, HS-grad, Married-civ-spouse,186,2, Craft-repair, Husband, White, Male,40, United-States,42695
34, Private, Bachelors, Never-married,178,4, Sales, Own-child, Black, Female,40, United-States,25063
44, Private, 9th, Divorced,146,1, Other-service, Own-child, White, Female,50, United-States,43291
28, Private, HS-grad, Never-married,196,0, Handlers-cleaners, Unmarried, White, Male,40, United-States,31205
35, Private, HS-grad, Divorced,150,5, Other-service, Not-in-family, White, Female,35, United-States,30885
38, Private, HS-grad, Married-civ-spouse,172,2, Machine-op-inspct, Husband, White, Male,40, United-States,32553
26, Private, Some-college, Never-married,193,3, Tech-support, Own-child, White, Female,40, United-States,24579
20, Private, 11th, Never-married,181,6, Transport-moving, Own-child, White, Male,60, United-States,23630
24, Private, HS-grad, Married-civ-spouse,181,5, Craft-repair, Husband, White, Male,60, Mexico,138940
40, Private, HS-grad, Divorced,191,6, Craft-repair, Not-in-family, White, Male,45, United-States,44320
23, Private, HS-grad, Never-married,174,6, Craft-repair, Other-relative, White, Male,40, United-States,28073
79, Local-gov, 11th, Married-civ-spouse,159,0, Exec-managerial, Husband, White, Male,7, United-States,45056
44, Private, 10th, Divorced,200,3, Adm-clerical, Unmarried, Other, Female,42, United-States,48466
51, Private, Masters, Married-civ-spouse,176,0, Prof-specialty, Wife, White, Female,50, United-States,63732
30, Private, HS-grad, Married-civ-spouse,197,2, Machine-op-inspct, Husband, White, Male,40, United-States,32546
52, Private, Assoc-acdm, Married-civ-spouse,152,3, Sales, Husband, White, Male,48, United-States,57852
41, Private, Bachelors, Married-civ-spouse,166,5, Exec-managerial, Husband, White, Male,40, ?,170290
33, Private, 5th-6th, Married-civ-spouse,162,3, Farming-fishing, Husband, Asian-Pac-Islander, Male,40, Philippines,38916
50, Private, Bachelors, Divorced,165,5, Exec-managerial, Unmarried, White, Male,45, United-States,99476
51, Private, Assoc-voc, Married-civ-spouse,168,4, Tech-support, Husband, White, Male,40, United-States,197403
41, Private, HS-grad, Never-married,181,5, Machine-op-inspct, Not-in-family, White, Male,40, United-States,43900
35, Private, Bachelors, Married-civ-spouse,177,4, Sales, Wife, White, Female,30, United-States,119909
34, Private, Some-college, Married-civ-spouse,162,2, Exec-managerial, Husband, White, Male,40, United-States,90360
28, Private, Bachelors, Never-married,176,6, Prof-specialty, Not-in-family, White, Male,45, United-States,42541
31, Self-emp-inc, Assoc-voc, Divorced,148,6, Sales, Not-in-family, White, Male,40, United-States,23679
22, Private, HS-grad, Never-married,184,1, Handlers-cleaners, Own-child, White, Male,40, United-States,40129
67, ?, HS-grad, Widowed,163,0, ?, Not-in-family, White, Female,15, United-States,31682
65, Private, HS-grad, Married-civ-spouse,194,3, Sales, Husband, White, Male,40, United-States,57681
39, Self-emp-not-inc, HS-grad, Married-civ-spouse,189,2, Sales, Husband, White, Male,50, United-States,134753
23, Private, Some-college, Never-married,150,5, Tech-support, Own-child, White, Male,40, United-States,47873
29, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse,162,1, Sales, Husband, White, Male,50, United-States,22257
57, Self-emp-not-inc, 10th, Divorced,170,1, Exec-managerial, Own-child, White, Male,60, United-States,95687
47, Private, Some-college, Widowed,182,2, Other-service, Not-in-family, White, Female,35, United-States,46156
51, Local-gov, HS-grad, Married-civ-spouse,196,5, Transport-moving, Husband, Black, Male,60, United-States,35365
34, Private, HS-grad, Married-civ-spouse,170,1, Handlers-cleaners, Husband, Black, Male,40, United-States,32159
52, Private, HS-grad, Married-civ-spouse,152,1, Exec-managerial, Husband, White, Male,60, United-States,152372
29, Private, HS-grad, Married-civ-spouse,176,1, Prof-specialty, Husband, White, Male,40, United-States,132964
29, Private, HS-grad, Married-civ-spouse,156,0, Craft-repair, Husband, White, Male,40, United-States,32607
25, Local-gov, Some-college, Married-civ-spouse,197,1, Farming-fishing, Husband, White, Male,40, United-States,34447
21, Private, Some-college, Never-married,184,4, Other-service, Not-in-family, White, Female,40, United-States,32502
38, Private, Bachelors, Married-spouse-absent,191,1, Prof-specialty, Not-in-family, White, Female,40, United-States,49891
55, Self-emp-not-inc, HS-grad, Married-civ-spouse,181,3, Sales, Husband, White, Male,50, United-States,94541
61, Self-emp-inc, Bachelors, Separated,165,2, Sales, Not-in-family, White, Female,30, United-States,27655
34, Private, Assoc-acdm, Never-married,159,3, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,60, United-States,100511
41, Private, Bachelors, Married-civ-spouse,198,2, Adm-clerical, Husband, White, Male,40, United-States,22805
27, Local-gov, Assoc-voc, Never-married,189,4, Adm-clerical, Own-child, White, Male,43, United-States,22820
78, Self-emp-not-inc, Bachelors, Never-married,152,2, Exec-managerial, Not-in-family, White, Male,20, United-States,114173
40, Private, HS-grad, Married-civ-spouse,197,2, Transport-moving, Husband, White, Male,40, United-States,190505
26, Self-emp-not-inc, 7th-8th, Married-civ-spouse,185,3, Transport-moving, Husband, White, Male,75, United-States,35699
43, Private, HS-grad, Married-civ-spouse,150,0, Other-service, Husband, Asian-Pac-Islander, Male,60, Japan,48706
55, ?, HS-grad, Widowed,177,0, ?, Not-in-family, White, Female,20, United-States,33566
25, Private, Assoc-voc, Married-civ-spouse,188,5, Tech-support, Husband, White, Male,40, Mexico,42809
26, Self-emp-not-inc, Some-college, Never-married,148,1, Other-service, Not-in-family, White, Female,48, United-States,22982
43, Self-emp-inc, HS-grad, Married-civ-spouse,156,5, Sales, Husband, White, Male,68, United-States,60141
25, Private, Some-college, Never-married,197,4, Other-service, Own-child, White, Male,40, Poland,21656
22, Private, Some-college, Never-married,182,3, Adm-clerical, Other-relative, Black, Female,30, Jamaica,46737
52, Self-emp-not-inc, HS-grad, Married-civ-spouse,153,4, Craft-repair, Husband, White, Male,55, United-States,187285
61, Private, HS-grad, Married-civ-spouse,148,1, Adm-clerical, Wife, White, Female,5, United-States,38182
42, Private, Bachelors, Never-married,147,3, Sales, Unmarried, White, Male,40, United-States,46615
21, Private, Assoc-voc, Never-married,178,4, Adm-clerical, Not-in-family, White, Female,40, United-States,34961
44, Private, HS-grad, Married-civ-spouse,199,2, Transport-moving, Husband, Amer-Indian-Eskimo, Male,40, United-States,28420
65, Private, HS-grad, Married-civ-spouse,156,0, Craft-repair, Husband, White, Male,40, Greece,39849
56, ?, HS-grad, Divorced,186,3, ?, Not-in-family, White, Male,10, United-States,27064
33, Federal-gov, Assoc-acdm, Divorced,198,0, Other-service, Unmarried, White, Male,40, United-States,35043
22, Private, 10th, Never-married,194,1, Adm-clerical, Not-in-family, White, Female,40, United-States,30107
43, Private, HS-grad, Divorced,178,3, Machine-op-inspct, Not-in-family, White, Female,24, United-States,28441
45, Self-emp-inc, HS-grad, Divorced,168,3, Exec-managerial, Not-in-family, White, Male,42, United-States,47973
42, Private, HS-grad, Divorced,191,1, Sales, Not-in-family, White, Female,42, United-States,34417
37, Private, HS-grad, Married-spouse-absent,191,3, Farming-fishing, Unmarried, Other, Male,40, Mexico,22590
56, Private, 9th, Divorced,149,1, Craft-repair, Not-in-family, White, Male,40, United-States,33700
35, ?, 10th, Divorced,191,1, ?, Unmarried, White, Female,16, ?,34613
40, Private, Assoc-acdm, Divorced,177,6, Adm-clerical, Unmarried, Black, Female,32, United-States,24319
31, Private, Bachelors, Married-civ-spouse,178,6, Sales, Husband, White, Male,55, United-States,42332
26, Private, Bachelors, Married-civ-spouse,156,1, Prof-specialty, Husband, White, Male,40, United-States,30000
26, State-gov, Bachelors, Never-married,194,6, Prof-specialty, Own-child, White, Male,40, United-States,33584
42, Self-emp-inc, Bachelors, Married-civ-spouse,162,3, Exec-managerial, Husband, White, Male,70, United-States,39365
45, Self-emp-not-inc, HS-grad, Married-civ-spouse,151,6, Exec-managerial, Husband, Asian-Pac-Islander, Male,40, China,33426
47, Local-gov, Some-college, Married-civ-spouse,155,1, Prof-specialty, Husband, Black, Male,50, United-States,179744
22, Private, Some-college, Married-civ-spouse,177,3, Machine-op-inspct, Husband, White, Male,40, Mexico,36913
33, Private, Bachelors, Never-married,189,1, Exec-managerial, Own-child, White, Male,40, United-States,36134
37, Private, HS-grad, Never-married,172,5, Transport-moving, Not-in-family, Black, Male,50, United-States,23478
48, Self-emp-not-inc, HS-grad, Married-civ-spouse,193,4, Farming-fishing, Husband, White, Male,98, United-States,39890
57, Self-emp-not-inc, 10th, Married-civ-spouse,175,6, Craft-repair, Husband, White, Male,8, United-States,22175
47, Private, Some-college, Divorced,185,0, Adm-clerical, Not-in-family, White, Female,60, United-States,43052
58, Local-gov, 9th, Married-civ-spouse,151,5, Transport-moving, Husband, White, Male,40, United-States,38761
55, Private, 11th, Widowed,155,0, Adm-clerical, Unmarried, White, Female,40, United-States,38586
52, Private, Some-college, Married-civ-spouse,145,6, Craft-repair, Husband, White, Male,55, United-States,24908
29, Private, Bachelors, Never-married,182,3, Prof-specialty, Not-in-family, White, Male,40, United-States,43531
42, Private, Masters, Never-married,185,2, Prof-specialty, Not-in-family, White, Female,40, United-States,27309
23, Private, HS-grad, Divorced,196,4, Craft-repair, Not-in-family, White, Male,60, United-States,35559
23, Private, 12th, Never-married,170,6, Other-service, Not-in-family, White, Female,30, United-States,26493
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse,184,0, Exec-managerial, Husband, White, Male,60, United-States,26855
30, Private, Some-college, Never-married,160,0, Machine-op-inspct, Not-in-family, White, Male,40, United-States,38589
43, Self-emp-not-inc, Bachelors, Married-civ-spouse,179,0, Prof-specialty, Wife, White, Female,70, United-States,67561
25, Private, Some-college, Never-married,199,3, Adm-clerical, Own-child, White, Female,30, United-States,47688
32, Private, HS-grad, Married-civ-spouse,179,4, Transport-moving, Husband, White, Male,80, United-States,52839
56, Private, 9th, Married-civ-spouse,189,4, Transport-moving, Husband, Black, Male,40, United-States,48721
33, Private, HS-grad, Married-civ-spouse,171,4, Transport-moving, Husband, White, Male,43, United-States,35940
19, State-gov, Some-college, Never-married,197,2, Adm-clerical, Own-child, White, Male,10, United-States,21945
20, Private, Some-college, Never-married,161,6, Sales, Own-child, White, Female,18, United-States,27690
34, Private, Some-college, Married-civ-spouse,165,3, Adm-clerical, Husband, White, Male,40, United-States,20530
34, Private, 9th, Divorced,173,1, Other-service, Unmarried, White, Female,40, United-States,48010
55, Self-emp-not-inc, HS-grad, Married-civ-spouse,149,4, Craft-repair, Husband, White, Male,40, United-States,45499
55, Private, 9th, Married-civ-spouse,147,4, Tech-support, Wife, White, Female,23, United-States,41474
31, Private, Some-college, Never-married,153,5, Sales, Not-in-family, White, Male,45, United-States,22581
30, Private, HS-grad, Divorced,152,3, Other-service, Unmarried, White, Female,40, United-States,43423
31, Private, HS-grad, Divorced,178,4, Other-service, Unmarried, White, Male,40, United-States,28186
51, Private, HS-grad, Separated,158,5, Machine-op-inspct, Not-in-family, White, Male,40, United-States,45106
59, Private, HS-grad, Married-civ-spouse,150,1, Craft-repair, Husband, White, Male,40, United-States,42909
58, Private, HS-grad, Divorced,168,5, Adm-clerical, Unmarried, Black, Female,36, United-States,48228
40, Private, 9th, Married-civ-spouse,155,4, Handlers-cleaners, Husband, White, Male,40, United-States,45281
54, Private, HS-grad, Married-civ-spouse,192,2, Craft-repair, Husband, Black, Male,40, United-States,38986
25, Local-gov, Bachelors, Married-civ-spouse,169,1, Prof-specialty, Husband, White, Male,40, United-States,81837
18, Self-emp-inc, 11th, Never-married,195,2, Farming-fishing, Own-child, White, Male,30, United-States,39342
41, Private, Some-college, Married-civ-spouse,198,5, Craft-repair, Husband, White, Male,40, United-States,38653
57, Private, 10th, Widowed,177,4, Other-service, Unmarried, White, Female,40, United-States,44388
37, Private, HS-grad, Married-civ-spouse,170,2, Exec-managerial, Husband, White, Male,40, United-States,75152
46, Private, HS-grad, Never-married,156,4, Other-service, Unmarried, White, Female,24, United-States,44813
39, Private, HS-grad, Never-married,156,0, Other-service, Own-child, White, Female,38, United-States,38020
19, Private, HS-grad, Never-married,176,5, Craft-repair, Not-in-family, White, Female,40, United-States,30193
41, Private, Assoc-acdm, Married-civ-spouse,159,3, Machine-op-inspct, Husband, White, Male,40, United-States,48494
54, Private, HS-grad, Never-married,188,1, Adm-clerical, Not-in-family, White, Male,41, United-States,22695
39, Private, Masters, Married-civ-spouse,177,6, Exec-managerial, Husband, White, Male,40, United-States,118841
41, Private, HS-grad, Married-civ-spouse,188,3, Craft-repair, Husband, White, Male,40, United-States,147156
26, Private, Prof-school, Never-married,197,0, Prof-specialty, Not-in-family, White, Female,30, United-States,42856
57, Self-emp-inc, HS-grad, Married-civ-spouse,168,1, Adm-clerical, Husband, White, Male,50, United-States,47927
33, Local-gov, Some-college, Married-civ-spouse,199,2, Protective-serv, Husband, White, Male,40, United-States,183011
56, Private, Some-college, Married-civ-spouse,167,6, Exec-managerial, Husband, White, Male,40, United-States,79443
60, Private, HS-grad, Married-civ-spouse,168,1, Machine-op-inspct, Husband, White, Male,40, United-States,49671
22, Private, HS-grad, Never-married,194,4, Transport-moving, Not-in-family, White, Male,70, United-States,20030
58, Private, 12th, Married-civ-spouse,162,3, Transport-moving, Other-relative, White, Male,40, United-States,25376
48, Federal-gov, Masters, Married-spouse-absent,178,3, Exec-managerial, Not-in-family, White, Female,50, United-States,73594
45, Local-gov, Masters, Married-civ-spouse,150,0, Prof-specialty, Husband, White, Male,55, United-States,78658
18, Private, HS-grad, Never-married,184,0, Sales, Own-child, Asian-Pac-Islander, Female,40, United-States,42493
56, Private, HS-grad, Widowed,199,2, Other-service, Unmarried, White, Female,40, United-States,21039
48, Self-emp-inc, HS-grad, Married-civ-spouse,156,1, Craft-repair, Husband, White, Male,60, United-States,50568
40, Private, Bachelors, Never-married,160,1, Tech-support, Not-in-family, Asian-Pac-Islander, Female,48, Philippines,47698
38, Private, HS-grad, Divorced,182,5, Other-service, Not-in-family, White, Male,32, United-States,49685
58, Private, Some-college, Divorced,190,6, Adm-clerical, Unmarried, White, Female,40, United-States,41482
23, Private, Some-college, Never-married,150,6, Exec-managerial, Own-child, White, Male,50, United-States,33293
63, Private, Some-college, Married-civ-spouse,160,4, Prof-specialty, Husband, White, Male,40, ?,48378
51, Private, Bachelors, Divorced,161,2, Prof-specialty, Not-in-family, White, Male,45, United-States,28760
22, ?, 5th-6th, Married-civ-spouse,199,4, ?, Wife, Other, Female,40, Mexico,21924
44, Private, HS-grad, Married-civ-spouse,188,6, Farming-fishing, Husband, White, Male,70, United-States,32169
46, Federal-gov, Some-college, Divorced,163,6, Tech-support, Not-in-family, White, Male,40, United-States,32123
64, State-gov, Bachelors, Married-civ-spouse,189,6, Adm-clerical, Husband, White, Male,40, United-States,30583
32, Private, Bachelors, Married-civ-spouse,186,4, Exec-managerial, Husband, Black, Male,40, England,134584
31, Private, Some-college, Married-civ-spouse,163,2, Adm-clerical, Husband, White, Male,40, United-States,40706
36, Private, Assoc-voc, Married-civ-spouse,163,5, Sales, Husband, White, Male,50, United-States,113708
21, Private, HS-grad, Never-married,165,5, Other-service, Not-in-family, White, Female,50, United-States,38141
30, Private, Some-college, Married-civ-spouse,186,4, Craft-repair, Husband, White, Male,40, United-States,47128
31, Private, Assoc-voc, Never-married,178,1, Other-service, Not-in-family, Black, Female,40, United-States,45659
54, Private, HS-grad, Married-civ-spouse,177,5, Transport-moving, Husband, White, Male,50, United-States,48522
59, Local-gov, 9th, Married-civ-spouse,179,6, Other-service, Husband, White, Male,40, United-States,26070
28, Local-gov, Masters, Married-civ-spouse,198,3, Prof-specialty, Wife, White, Female,20, United-States,170677
57, Private, HS-grad, Divorced,190,2, Adm-clerical, Unmarried, White, Female,40, United-States,22881
44, Private, HS-grad, Married-civ-spouse,146,5, Craft-repair, Husband, White, Male,45, United-States,28475
53, Self-emp-inc, Some-college, Divorced,153,3, Exec-managerial, Not-in-family, White, Male,60, United-States,28891
58, Self-emp-not-inc, Some-college, Married-civ-spouse,149,3, Exec-managerial, Husband, White, Male,60, United-States,75238
19, Private, Some-college, Never-married,153,1, Other-service, Own-child, White, Female,20, United-States,42502
39, Self-emp-inc, Assoc-acdm, Married-civ-spouse,147,5, Exec-managerial, Husband, White, Male,50, United-States,70970
31, Self-emp-inc, Some-college, Married-civ-spouse,145,1, Exec-managerial, Wife, Asian-Pac-Islander, Female,70, South,29530
27, Private, HS-grad, Married-civ-spouse,146,2, Craft-repair, Husband, White, Male,40, United-States,22642
46, Local-gov, 9th, Separated,149,4, Other-service, Unmarried, Black, Female,40, United-States,21621
37, Self-emp-not-inc, Masters, Never-married,152,5, Exec-managerial, Not-in-family, White, Male,40, United-States,26401
27, Private, Bachelors, Never-married,196,3, Sales, Not-in-family, Black, Female,40, United-States,28891
33, Private, Some-college, Never-married,157,5, Transport-moving, Not-in-family, White, Male,55, United-States,41370
20, Private, Some-college, Never-married,152,1, Other-service, Own-child, White, Male,16, United-States,23038
55, Private, HS-grad, Divorced,194,4, Craft-repair, Not-in-family, White, Male,45, United-States,42153
39, Private, Assoc-acdm, Never-married,146,6, Sales, Not-in-family, White, Female,40, United-States,29286
41, Private, HS-grad, Never-married,193,2, Other-service, Not-in-family, White, Female,40, United-States,31776
30, Private, Bachelors, Never-married,178,2, Prof-specialty, Not-in-family, White, Female,40, United-States,20249
39, Self-emp-inc, Bachelors, Married-spouse-absent,167,1, Sales, Not-in-family, White, Male,40, United-States,32506
28, Private, HS-grad, Separated,195,5, Exec-managerial, Unmarried, White, Female,50, United-States,39941
25, Private, Some-college, Never-married,176,1, Sales, Own-child, White, Male,24, United-States,43497
31, Private, HS-grad, Married-civ-spouse,174,5, Craft-repair, Husband, White, Male,50, United-States,25458
51, Private, HS-grad, Married-civ-spouse,158,1, Transport-moving, Husband, White, Male,60, United-States,22277
24, Private, Bachelors, Never-married,150,3, Adm-clerical, Own-child, White, Male,40, United-States,21899
70, Private, HS-grad, Divorced,186,5, Protective-serv, Not-in-family, White, Female,32, United-States,22913
23, Private, Some-college, Never-married,180,2, Adm-clerical, Own-child, White, Male,40, United-States,46990
61, Private, HS-grad, Widowed,156,6, Exec-managerial, Not-in-family, White, Female,40, United-States,47241
45, Self-emp-not-inc, 7th-8th, Married-civ-spouse,188,6, Exec-managerial, Husband, White, Male,55, United-States,113458
47, Private, HS-grad, Married-civ-spouse,163,1, Handlers-cleaners, Husband, White, Male,60, United-States,39577
56, Private, Some-college, Divorced,194,4, Other-service, Not-in-family, White, Female,50, United-States,31161
79, Private, Doctorate, Married-civ-spouse,199,5, Prof-specialty, Husband, White, Male,35, El-Salvador,85578
20, Private, Some-college, Never-married,197,6, Adm-clerical, Own-child, White, Female,15, United-States,22249
30, Private, HS-grad, Never-married,145,6, Craft-repair, Unmarried, Asian-Pac-Islander, Male,40, Vietnam,29459
27, Private, Bachelors, Married-civ-spouse,195,0, Sales, Husband, White, Male,25, ?,21921
40, Private, Bachelors, Married-civ-spouse,166,6, Sales, Husband, White, Male,40, United-States,170105
60, ?, HS-grad, Married-civ-spouse,162,5, ?, Husband, White, Male,5, United-States,28974
58, Private, HS-grad, Married-civ-spouse,155,3, Craft-repair, Husband, White, Male,40, United-States,172170
71, Self-emp-not-inc, Prof-school, Married-civ-spouse,191,4, Farming-fishing, Husband, White, Male,2, United-States,48893
50, Private, Prof-school, Married-civ-spouse,163,2, Prof-specialty, Husband, White, Male,60, United-States,184992
29, Local-gov, Some-college, Never-married,147,6, Exec-managerial, Not-in-family, White, Male,40, Iran,28237
33, Private, 10th, Separated,200,5, Other-service, Unmarried, White, Female,35, United-States,27905
60, State-gov, HS-grad, Married-civ-spouse,176,1, Protective-serv, Husband, Amer-Indian-Eskimo, Male,40, United-States,71411
33, Private, Assoc-acdm, Never-married,156,3, Adm-clerical, Not-in-family, White, Male,50, United-States,22854
43, Private, Bachelors, Married-civ-spouse,186,6, Other-service, Wife, White, Female,35, ?,62862
33, Private, 10th, Never-married,172,2, Handlers-cleaners, Unmarried, Black, Male,40, United-States,38763
33, Private, HS-grad, Married-civ-spouse,185,1, Adm-clerical, Wife, White, Female,52, United-States,29063
32, State-gov, HS-grad, Married-civ-spouse,200,4, Protective-serv, Husband, White, Male,45, United-States,34334
21, Private, Some-college, Never-married,194,1, Other-service, Own-child, White, Female,9, United-States,31870
38, Private, HS-grad, Married-civ-spouse,187,4, Prof-specialty, Wife, White, Female,40, United-States,41078
38, Private, Some-college, Married-civ-spouse,186,1, Adm-clerical, Wife, White, Female,35, United-States,157848
39, State-gov, Some-college, Separated,200,3, Exec-managerial, Unmarried, Black, Female,30, United-States,31540
17, Private, 11th, Never-married,178,6, Sales, Own-child, White, Female,15, United-States,25354
21, Private, Some-college, Married-civ-spouse,200,4, Adm-clerical, Husband, White, Male,40, United-States,25435
